A16_LM.UTCModJulian,A16_LM.UTCGregorian,A16_LM.Luna.Longitude,A16_LM.Luna.Latitude,A16_LM.Luna.Altitude,A16_LM.LunaFixed.PlanetodeticAZI,A16_LM.LunaFixed.PlanetodeticHFPA
11470.5748838118,02 Jun 1972 01:47:49.961,125.6222879850399,3.242447258213159,34.66313711454882,-81.13967228047392,-2.705282195942843
11470.57507391237,02 Jun 1972 01:48:06.386,124.7277912243359,3.381245139825736,33.35142862228804,-81.1912894415894,-2.667979771671512
11470.57526428482,02 Jun 1972 01:48:22.834,123.8304439075812,3.519620943217182,32.05527980744159,-81.245177349347,-2.630195542782303
11470.57545643195,02 Jun 1972 01:48:39.436,122.9231433764721,3.658616723518493,30.76501244046403,-81.30181969847313,-2.591525477016148
11470.57565064928,02 Jun 1972 01:48:56.216,122.0044541997842,3.79838373015545,29.47951913075667,-81.36142237107978,-2.551823404843432
11470.57584409861,02 Jun 1972 01:49:12.930,121.0877940515538,3.936828396705794,28.21813937875277,-81.42321878870575,-2.511559572143128
11470.57603238779,02 Jun 1972 01:49:29.198,120.1940561929548,4.070799652926278,27.00907553313004,-81.48572616933453,-2.471512725936748
11470.57621443911,02 Jun 1972 01:49:44.928,119.3284974072753,4.199562085464094,25.85797127301362,-81.54827615167642,-2.43216382836772
11470.57639360449,02 Jun 1972 01:50:00.407,118.4752918374511,4.325509418203271,24.74256723344547,-81.61177274107833,-2.39299832999022
11470.5765744347,02 Jun 1972 01:50:16.031,117.6127885417641,4.451815065294269,23.63459324880773,-81.67777436529779,-2.353017385756985
11470.57676029016,02 Jun 1972 01:50:32.089,116.7248903409115,4.580745801246123,22.51470149937563,-81.74755548226175,-2.311502748729879
11470.57695550973,02 Jun 1972 01:50:48.956,115.7907111156851,4.715167731510758,21.35925571124812,-81.8229658823968,-2.267385514815715
11470.57716269864,02 Jun 1972 01:51:06.857,114.7975383864086,4.856658830318943,20.15672099588005,-81.90543107960681,-2.219908733765536
